GW,OR,OP,GWR,GWP,PB,TM,TC,£
1,1746835,68,1746835,68,11,0,0,100.0
2,571185,156,1116568,88,2,1,0,100.1
3,1323339,222,5054182,66,0,1,0,100.6
4,1682597,271,5762480,49,8,0,0,100.2
5,1907804,331,4587503,60,6,1,0,100.6
6,3036800,369,7016923,42,20,2,4,101.2
7,3544061,409,7037868,40,10,0,0,101.2
8,3131569,452,2987522,43,1,2,0,101.2
9,2718951,516,1513128,68,4,2,4,101.2
10,1455214,581,162905,65,9,0,0,101.6
11,751622,657,358301,76,1,0,0,101.9
12,860388,711,3097431,58,3,4,4,102.0
13,496403,800,491447,89,3,0,0,102.2
14,467498,868,2879686,68,8,2,0,102.5
15,236657,943,508026,75,2,1,0,102.4
16,263788,993,4512033,50,8,1,0,102.9
17,202876,1081,1122583,88,28,1,0,103.0
18,176552,1149,1445342,68,6,1,0,103.2
19,230658,1220,4519570,71,14,1,0,103.6
20,278833,1281,4140031,65,2,2,4,103.7
21,251689,1354,1897796,73,10,1,0,104.0
22,284510,1398,6191143,44,4,1,0,104.4
23,213010,1471,1304008,73,11,1,0,104.6
24,201360,1596,1285804,129,4,2,4,104.3
25,241948,1682,3658319,86,4,1,0,104.1
26,250656,1762,2279095,80,8,1,0,104.2
27,252456,1819,4025052,57,6,0,0,104.4
28,307101,1871,6596657,52,11,1,0,104.6
29,121795,1959,42344,88,0,2,0,104.5
30,120965,2010,3272613,51,12,0,0,104.1
31,117160,2060,818355,54,12,2,4,105.0
32,110012,2143,1156943,83,0,1,0,105.8
33,129813,2207,3518677,64,4,0,0,106.3
34,107214,2292,416146,85,21,0,0,106.6
35,117218,2336,4991332,44,6,2,0,106.1
36,127862,2387,2942016,51,20,1,0,105.6
37,143078,2435,2952468,48,11,1,0,105.3
38,129161,2499,1212277,64,6,1,0,105.7
